input_te,output_te,input_en,output_en
AC ఆన్ చేయండి.,AC ఆన్ చేశాను. ఉష్ణోగ్రతను ఎంతకు సెట్ చేయాలి?,Turn on the AC.,AC is on. What temperature should I set it to?
ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేయండి.,"సరే, ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేశాను.",Set the temperature to 22 degrees.,"Okay, I have set the temperature to 22 degrees."
మా ఇంటికి దారి చూపించు.,"సరే, ఇంటికి దారి చూపిస్తాను. దారిలో ట్రాఫిక్ కొంచెం ఎక్కువగా ఉంది.",Navigate to my home.,"Okay, navigating to your home. There is a bit of traffic on the way."
కొంచెం భయంగా ఉంది.,మీకు భయంగా ఉందని అర్ధం చేసుకున్నాను. డ్రైవింగ్ మరింత సురక్షితంగా చేయనా? లేక లైట్ మ్యూజిక్ ప్లే చేయమంటారా?,I'm a little scared.,I understand you're scared. Should I drive more cautiously? Or would you like me to play some light music?
రేడియో వినాలని ఉంది.,"తప్పకుండా, ఏ స్టేషన్ వినాలనుకుంటున్నారు?",I want to listen to the radio.,"Sure, which station would you like to listen to?"
సీట్లు వేడి చేయండి.,సీట్లు వేడి చేయడం మొదలుపెట్టాను. మీకు సరిపోయే వేడిమి సెట్ చేయండి.,Heat the seats.,Starting to heat the seats. Adjust the heat to your preference.
విండోస్ మూసేయండి.,విండోస్ మూసేసాను.,Close the windows.,I have closed the windows.
నేను ఆశ్చర్యంగా ఉన్నాను.,అది చాలా బాగుంది! ఏదైనా ప్రత్యేకంగా వినాలనుకుంటున్నారా?,I am surprised.,That's great! Is there anything specific you want to listen to?
హెడ్లైట్లు ఆన్ చేయండి.,హెడ్లైట్లు ఆన్ చేశాను.,Turn on the headlights.,I have turned on the headlights.
వాల్యూమ్ తగ్గించండి.,వాల్యూమ్ తగ్గించాను.,Turn down the volume.,I have turned down the volume.
పార్కింగ్ సహాయం కావాలి.,"సరే, దగ్గరలోని పార్కింగ్ స్థలం కోసం వెతకనా లేదా సహాయం చేయనా?",I need parking assistance.,"Okay, should I look for a parking spot nearby or assist you directly?"
నాకు నిద్ర వస్తుంది.,మీకు నిద్ర వస్తున్నట్టు ఉంది. దగ్గరలో ఏదైనా రెస్ట్ స్టాప్ కి వెళ్ళమంటారా?,I am feeling sleepy.,You seem sleepy. Shall I navigate to the nearest rest stop?
డ్రైవింగ్ మోడ్ మార్చు.,ఏ డ్రైవింగ్ మోడ్ కి మార్చాలి?,Change the driving mode.,Which driving mode should I switch to?
నాకు చాలా సంతోషంగా ఉంది!,అద్భుతం! మీ సంతోషాన్ని పంచుకోవడం నాకు ఆనందంగా ఉంది. పాటలు ప్లే చేయమంటారా?,I am very happy!,Wonderful! I am happy to share your happiness. Shall I play some music?
నేను చాలా అలసిపోయాను.,అలసిపోయారా? సీటును కొంచెం వెనక్కి వాల్చమంటారా మరియు కాస్త రిలాక్సింగ్ మ్యూజిక్ ప్లే చేయమంటారా?,I am very tired.,Tired? Should I recline the seat a little and play some relaxing music?
నాకు చాలా కోపంగా ఉంది.,మీరు కోపంగా ఉన్నారని వినడానికి నాకు బాధగా ఉంది. నన్ను శాంతంగా డ్రైవ్ చేయనివ్వండి. ఏదైనా మార్పు కావాలంటే చెప్పండి.,I am very angry.,I am sorry to hear you are angry. Let me drive calmly. Let me know if you need anything different.
నాకు చాలా ఒత్తిడిగా ఉంది.,మీకు ఒత్తిడిగా ఉందని తెలుసుకున్నాను. నెమ్మదిగా శ్వాస తీసుకోవడానికి ఒక చిన్న ఆడియో గైడ్ ప్లే చేయాలా?,I am very stressed.,I understand you are stressed. Should I play a short audio guide for slow breathing?
సంగీతం ప్లే చేయ్.,"తప్పకుండా. మీకు ఇష్టమైన పాటలు ప్లే చేయనా, లేక ఏదైనా కొత్తది ప్రయత్నించమంటారా?",Play music.,"Certainly. Should I play your favorite songs, or try something new?"
